BFS_NR_GEMEINDE,GEMEINDE_NAME,BEZIRK_NR,BEZIRK_NAME,JAHR,GESCHLECHT_CODE,GESCHLECHT_BEZEICHNUNG,ALTER5KLASSEN_CODE,ALTER5KLASSEN_BEZEICHNUNG,ANZAHL_PERSONEN
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,80,80 bis 84 Jahre,6, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,85,85 bis 89 Jahre,6, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,1,Männlich,90,90+ Jahre,4, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,0,4 Jahre oder jünger,41, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,5,5 bis 9 Jahre,19, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,10,10 bis 14 Jahre,38, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,15,15 bis 19 Jahre,35, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,20,20 bis 24 Jahre,32, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,25,25 bis 29 Jahre,28, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,30,30 bis 34 Jahre,28, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,35,35 bis 39 Jahre,45, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,40,40 bis 44 Jahre,37, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,45,45 bis 49 Jahre,38, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,50,50 bis 54 Jahre,58, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,55,55 bis 59 Jahre,58, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,60,60 bis 64 Jahre,43, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,65,65 bis 69 Jahre,28, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,70,70 bis 74 Jahre,19, 
4416,Hefenhofen,2011,Bezirk Arbon,2019,2,Weiblich,75,75 bis 79 Jahre,15, 
